"02-01-2012","22:27:58"
"X Units:","MICRON"
"Z Units:","MICRON"
"Num Data:",48925
"Data Gain:",1
"Data Offset:",0
0,0.007861792
0.10215,0.0074326
0.2043,0.007187347
0.30645,0.006758155
0.4086,0.006512903
0.51075,0.006390276
0.6129,0.00626765
0.71505,0.006328963
0.8172,0.006328963
0.91935,0.006206337
1.0215,0.005961084
1.12365,0.005715832
1.2258,0.005593205
1.32795,0.005470579
1.4301,0.005470579
1.53225,0.005347953
1.6344,0.0051027
1.73655,0.004918761
1.8387,0.004734821
1.94085,0.004612195
2.043,0.004366942
2.14515,0.003876437
2.2473,0.003692497
2.34945,0.003508558
2.4516,0.003140679
2.55375,0.003079366
2.6559,0.002895426
2.75805,0.002834113
2.8602,0.002895426
2.96235,0.003018053
3.0645,0.003385932
3.16665,0.003753811
3.2688,0.003999063
3.37095,0.004244316
3.4731,0.004489569
3.57525,0.004612195
3.6774,0.004734821
3.77955,0.004857447
3.8817,0.004857447
3.98385,0.004612195
4.086,0.004366942
4.18815,0.003999063
4.2903,0.003508558
4.39245,0.003140679
4.4946,0.002711487
4.59675,0.002282295
4.6989,0.001975729
4.80105,0.00179179
4.9032,0.001485224
5.00535,0.001178658
5.1075,0.0009334055
5.20965,0.0008107792
5.3118,0.0008107792
5.41395,0.0008107792
5.5161,0.0008107792
5.61825,0.0008107792
5.7204,0.0006881529
5.82255,0.0008107792
5.9247,0.0009334055
6.02685,0.0009334055
6.129,0.0008720924
6.23115,0.0008107792
6.3333,0.0008720924
6.43545,0.0008107792
6.5376,0.0007494661
6.63975,0.0009334055
6.7419,0.001117345
6.84405,0.001117345
6.9462,0.001239971
7.04835,0.001423911
7.1505,0.00160785
7.25265,0.00179179
7.3548,0.002098355
7.45695,0.002343608
7.5591,0.002527548
7.66125,0.002527548
7.7634,0.002343608
7.86555,0.002159669
7.9677,0.002037042
8.06985,0.00179179
8.172,0.001423911
8.27415,0.001117345
8.3763,0.0009334055
8.47845,0.0007494661
8.5806,0.0005655266
8.68275,0.000320274
8.7849,7.502138E-05
8.88705,7.502138E-05
8.9892,-0.0001702312
9.09135,-0.0002315444
9.1935,-0.0002928576
9.29565,-0.0004154838
9.3978,-0.0005381102
9.49995,-0.0006607365
9.6021,-0.0007833628
9.70425,-0.0007833628
9.8064,-0.0009059891
9.90855,-0.0009059891
10.0107,-0.0009673022
10.11285,-0.001089929
10.215,-0.001273868
10.31715,-0.001273868
10.4193,-0.001396494
10.52145,-0.001519121
10.6236,-0.001457807
10.72575,-0.001396494
10.8279,-0.0009059891
10.93005,-0.0007220496
11.0322,-0.0004154838
11.13435,-4.760493E-05
11.2365,0.000320274
11.33865,0.0006881529
11.4408,0.001056032
11.54295,0.001301284
11.6451,0.001546537
11.74725,0.00179179
11.8494,0.001853103
11.95155,0.002098355
12.0537,0.002037042
12.15585,0.002159669
12.258,0.001914416
12.36015,0.00160785
12.4623,0.001301284
12.56445,0.0008107792
12.6666,0.0004429003
12.76875,0.0001976477
12.8709,-0.0003541707
12.97305,-0.0005994233
13.0752,-0.0009059891
13.17735,-0.001151242
13.2795,-0.001457807
13.38165,-0.001641747
13.4838,-0.001887
13.58595,-0.001887
13.6881,-0.002254878
13.79025,-0.002316192
13.8924,-0.002377505
13.99455,-0.002500131
14.0967,-0.002622757
14.19885,-0.002500131
14.301,-0.002438818
14.40315,-0.002193565
14.5053,-0.002009626
14.60745,-0.001641747
14.7096,-0.001273868
14.81175,-0.001028615
14.9139,-0.0006607365
15.01605,-0.0002928576
15.1182,7.502138E-05
15.22035,0.0004429003
15.3225,0.0007494661
15.42465,0.001056032
15.5268,0.001178658
15.62895,0.001301284
15.7311,0.001485224
15.83325,0.001546537
15.9354,0.001669163
16.03755,0.001853103
16.1397,0.00179179
16.24185,0.00179179
16.344,0.001669163
16.44615,0.001669163
16.5483,0.001546537
16.65045,0.001423911
16.7526,0.001178658
16.85475,0.0009334055
16.9569,0.0006881529
17.05905,0.0004429003
17.1612,0.0001976477
17.26335,-0.0001702312
17.3655,-0.0004154838
17.46765,-0.0007833628
17.5698,-0.0009673022
17.67195,-0.001273868
17.7741,-0.001335181
17.87625,-0.001396494
17.9784,-0.001396494
18.08055,-0.001519121
18.1827,-0.001641747
18.28485,-0.001825686
18.387,-0.001948313
18.48915,-0.001887
18.5913,-0.001825686
18.69345,-0.001764373
18.7956,-0.001825686
18.89775,-0.001764373
18.9999,-0.001641747
19.10205,-0.001519121
19.2042,-0.001212555
19.30635,-0.0009059891
19.4085,-0.0005381102
19.51065,-0.0001702312
19.6128,1.370823E-05
19.71495,0.0001976477
19.8171,0.000320274
19.91925,0.0005655266
20.0214,0.0008107792
20.12355,0.001056032
20.2257,0.001178658
20.32785,0.001178658
20.43,0.001056032
20.53215,0.0006881529
20.6343,0.0001976477
20.73645,-0.0004154838
20.8386,-0.0007833628
20.94075,-0.001396494
21.0429,-0.001764373
21.14505,-0.002438818
21.2472,-0.003113263
21.34935,-0.00384902
21.4515,-0.004462152
21.55365,-0.004891344
21.6558,-0.005075283
21.75795,-0.005075283
21.8601,-0.005320536
21.96225,-0.005443162
22.0644,-0.005565789
22.16655,-0.005565789
22.2687,-0.005565789
22.37085,-0.005565789
22.473,-0.005443162
22.57515,-0.005565789
22.6773,-0.005688415
22.77945,-0.005811041
22.8816,-0.006056294
22.98375,-0.006424173
23.0859,-0.006730739
23.18805,-0.006792052
23.2902,-0.007037304
23.39235,-0.007037304
23.4945,-0.007159931
23.59665,-0.007282557
23.6988,-0.00734387
23.80095,-0.007405183
23.9031,-0.00734387
