"02-01-2012","22:31:56"
"X Units:","MICRON"
"Z Units:","MICRON"
"Num Data:",48925
"Data Gain:",1
"Data Offset:",0
0,0.005967066
0.10215,0.006334945
0.2043,0.006457571
0.30645,0.006702824
0.4086,0.00682545
0.51075,0.007009389
0.6129,0.007009389
0.71505,0.007070703
0.8172,0.006886763
0.91935,0.00682545
1.0215,0.006702824
1.12365,0.006457571
1.2258,0.006212319
1.32795,0.006028379
1.4301,0.00584444
1.53225,0.005476561
1.6344,0.005231308
1.73655,0.004986056
1.8387,0.004863429
1.94085,0.004556864
2.043,0.004127671
2.14515,0.003759792
2.2473,0.003637166
2.34945,0.003269287
2.4516,0.003024034
2.55375,0.002778782
2.6559,0.002533529
2.75805,0.002288277
2.8602,0.002043024
2.96235,0.001552519
3.0645,0.001429892
3.16665,0.001491206
3.2688,0.001491206
3.37095,0.001613832
3.4731,0.001797771
3.57525,0.002043024
3.6774,0.002226964
3.77955,0.002656156
3.8817,0.002901408
3.98385,0.003024034
4.086,0.003207974
4.18815,0.0033306
4.2903,0.003391913
4.39245,0.0033306
4.4946,0.0033306
4.59675,0.003269287
4.6989,0.003146661
4.80105,0.003024034
4.9032,0.002962721
5.00535,0.003024034
5.1075,0.002840095
5.20965,0.002656156
5.3118,0.002533529
5.41395,0.002533529
5.5161,0.002533529
5.61825,0.002410903
5.7204,0.00234959
5.82255,0.002226964
5.9247,0.002226964
6.02685,0.002288277
6.129,0.001981711
6.23115,0.001797771
6.3333,0.001552519
6.43545,0.001307266
6.5376,0.00118464
6.63975,0.001000701
6.7419,0.000816761
6.84405,0.0006941347
6.9462,0.0005715084
7.04835,0.0004488821
7.1505,0.0003262558
7.25265,0.0003262558
7.3548,0.0002036295
7.45695,0.0002036295
7.5591,0.0002036295
7.66125,0.0001423163
7.7634,0.0001423163
7.86555,0.0002036295
7.9677,0.0003262558
8.06985,0.0005715084
8.172,0.0006941347
8.27415,0.000816761
8.3763,0.0009393873
8.47845,0.001062014
8.5806,0.00118464
8.68275,0.001062014
8.7849,0.0009393873
8.88705,0.0009393873
8.9892,0.000816761
9.09135,0.000816761
9.1935,0.0007554478
9.29565,0.0006941347
9.3978,0.0004488821
9.49995,0.0002036295
9.6021,8.100315E-05
9.70425,-4.162316E-05
9.8064,-0.0002255626
9.90855,-0.0003481889
10.0107,-0.0004095021
10.11285,-0.0003481889
10.215,-0.0002868758
10.31715,-0.0004095021
10.4193,-0.0006547547
10.52145,-0.0006547547
10.6236,-0.001022634
10.72575,-0.001206573
10.8279,-0.001267886
10.93005,-0.001390513
11.0322,-0.001513139
11.13435,-0.001635765
11.2365,-0.001758392
11.33865,-0.001758392
11.4408,-0.001635765
11.54295,-0.001390513
11.6451,-0.001083947
11.74725,-0.0007160679
11.8494,-0.0005321284
11.95155,-0.0002868758
12.0537,-4.162316E-05
12.15585,0.0002036295
12.258,0.0003262558
12.36015,0.0003262558
12.4623,0.0004488821
12.56445,0.0004488821
12.6666,0.0005715084
12.76875,0.0005715084
12.8709,0.0004488821
12.97305,0.0003262558
13.0752,-4.162316E-05
13.17735,-0.0002255626
13.2795,-0.0004095021
13.38165,-0.0007160679
13.4838,-0.0009000073
13.58595,-0.0009000073
13.6881,-0.0009000073
13.79025,-0.001022634
13.8924,-0.001083947
13.99455,-0.0009613205
14.0967,-0.000777381
14.19885,-0.0006547547
14.301,-0.0004095021
14.40315,-0.0001642495
14.5053,8.100315E-05
14.60745,0.0002036295
14.7096,0.0003262558
14.81175,0.0003262558
14.9139,0.0003262558
15.01605,0.0004488821
15.1182,0.0004488821
15.22035,0.0003262558
15.3225,8.100315E-05
15.42465,-0.0001642495
15.5268,-0.0004095021
15.62895,-0.000777381
15.7311,-0.0009000073
15.83325,-0.0009613205
15.9354,-0.00114526
16.03755,-0.00114526
16.1397,-0.00114526
16.24185,-0.00114526
16.344,-0.001083947
16.44615,-0.0009613205
16.5483,-0.001022634
16.65045,-0.001022634
16.7526,-0.001022634
16.85475,-0.0009000073
16.9569,-0.0009000073
17.05905,-0.001022634
17.1612,-0.001267886
17.26335,-0.001329199
17.3655,-0.001390513
17.46765,-0.001513139
17.5698,-0.001513139
17.67195,-0.001574452
17.7741,-0.001758392
17.87625,-0.001881018
17.9784,-0.001758392
18.08055,-0.001758392
18.1827,-0.001819705
18.28485,-0.002003644
18.387,-0.001881018
18.48915,-0.001819705
18.5913,-0.001635765
18.69345,-0.001513139
18.7956,-0.001451826
18.89775,-0.001390513
18.9999,-0.001390513
19.10205,-0.001390513
19.2042,-0.00114526
19.30635,-0.00114526
19.4085,-0.001022634
19.51065,-0.0009000073
19.6128,-0.0009613205
19.71495,-0.001022634
19.8171,-0.001267886
19.91925,-0.001390513
20.0214,-0.001267886
20.12355,-0.001083947
20.2257,-0.001267886
20.32785,-0.001390513
20.43,-0.001390513
20.53215,-0.001390513
20.6343,-0.001206573
20.73645,-0.00114526
20.8386,-0.001206573
20.94075,-0.001267886
21.0429,-0.001390513
21.14505,-0.001390513
21.2472,-0.001513139
21.34935,-0.001819705
21.4515,-0.002003644
21.55365,-0.002248897
21.6558,-0.002616776
21.75795,-0.002923341
21.8601,-0.003229907
21.96225,-0.00347516
22.0644,-0.003720412
22.16655,-0.003965665
22.2687,-0.004149605
22.37085,-0.004394857
22.473,-0.00445617
22.57515,-0.004333544
22.6773,-0.004088291
22.77945,-0.003843039
22.8816,-0.003659099
22.98375,-0.003413847
23.0859,-0.003229907
23.18805,-0.003352534
23.2902,-0.003352534
23.39235,-0.00347516
23.4945,-0.00347516
23.59665,-0.003843039
23.6988,-0.004149605
