"02-01-2012","22:36:06"
"X Units:","MICRON"
"Z Units:","MICRON"
"Num Data:",48925
"Data Gain:",1
"Data Offset:",0
0,0.009251058
0.10215,0.009189745
0.2043,0.008944493
0.30645,0.008821866
0.4086,0.008576614
0.51075,0.008331361
0.6129,0.008086109
0.71505,0.007840856
0.8172,0.00753429
0.91935,0.007350351
1.0215,0.007166411
1.12365,0.007043785
1.2258,0.006798532
1.32795,0.006491967
1.4301,0.006124088
1.53225,0.006001461
1.6344,0.005756209
1.73655,0.005510956
1.8387,0.00538833
1.94085,0.005143077
2.043,0.004897824
2.14515,0.004591259
2.2473,0.004284693
2.34945,0.00403944
2.4516,0.003794188
2.55375,0.003487622
2.6559,0.003181056
2.75805,0.002751864
2.8602,0.002322672
2.96235,0.001832167
3.0645,0.001464288
3.16665,0.001219035
3.2688,0.001035096
3.37095,0.0009737825
3.4731,0.0009737825
3.57525,0.001096409
3.6774,0.001219035
3.77955,0.001341661
3.8817,0.001341661
3.98385,0.001464288
4.086,0.001464288
4.18815,0.001586914
4.2903,0.001464288
4.39245,0.001219035
4.4946,0.001035096
4.59675,0.0009737825
4.6989,0.0008511562
4.80105,0.0007285299
4.9032,0.0007285299
5.00535,0.0008511562
5.1075,0.0008511562
5.20965,0.000789843
5.3118,0.0008511562
5.41395,0.0008511562
5.5161,0.0007285299
5.61825,0.0007285299
5.7204,0.0006059036
5.82255,0.0004832773
5.9247,0.0004832773
6.02685,0.0003606509
6.129,0.0001153983
6.23115,-0.0002524806
6.3333,-0.0007429858
6.43545,-0.0009882385
6.5376,-0.001478744
6.63975,-0.001969249
6.7419,-0.002459754
6.84405,-0.002888946
6.9462,-0.003379451
7.04835,-0.00393127
7.1505,-0.004421775
7.25265,-0.004667028
7.3548,-0.00491228
7.45695,-0.005034907
7.5591,-0.004973594
7.66125,-0.00491228
7.7634,-0.004421775
7.86555,-0.004053896
7.9677,-0.003502078
8.06985,-0.002827633
8.172,-0.002337128
8.27415,-0.001540057
8.3763,-0.0009882385
8.47845,-0.0004364201
8.5806,-6.854113E-05
8.68275,0.0003606509
8.7849,0.0004832773
8.88705,0.0006059036
8.9892,0.0007285299
9.09135,0.0006059036
9.1935,0.0004832773
9.29565,0.0002380246
9.3978,-6.854113E-05
9.49995,-0.0001298543
9.6021,-0.0003751069
9.70425,-0.0003751069
9.8064,-0.0002524806
9.90855,-0.0001298543
10.0107,-0.0001298543
10.11285,0.0001767115
10.215,0.0003606509
10.31715,0.0005445904
10.4193,0.0005445904
10.52145,0.0003606509
10.6236,0.0002380246
10.72575,-0.0001298543
10.8279,-0.0003751069
10.93005,-0.0005590463
11.0322,-0.000804299
11.13435,-0.001110865
11.2365,-0.001478744
11.33865,-0.002030562
11.4408,-0.002337128
11.54295,-0.002705007
11.6451,-0.002582381
11.74725,-0.002582381
11.8494,-0.002459754
11.95155,-0.002091875
12.0537,-0.001907936
12.15585,-0.001478744
12.258,-0.0009882385
12.36015,-0.0006203595
12.4623,-0.0001911674
12.56445,0.0002380246
12.6666,0.0006059036
12.76875,0.0009124693
12.8709,0.001096409
12.97305,0.001341661
13.0752,0.001341661
13.17735,0.001341661
13.2795,0.001219035
13.38165,0.001157722
13.4838,0.001035096
13.58595,0.0009124693
13.6881,0.0008511562
13.79025,0.000789843
13.8924,0.0006059036
13.99455,0.0006059036
14.0967,0.0006059036
14.19885,0.0008511562
14.301,0.0009737825
14.40315,0.001096409
14.5053,0.001096409
14.60745,0.001157722
14.7096,0.001219035
14.81175,0.001157722
14.9139,0.001096409
15.01605,0.001035096
15.1182,0.0009124693
15.22035,0.0008511562
15.3225,0.000789843
15.42465,0.0004832773
15.5268,0.0003606509
15.62895,0.0002380246
15.7311,5.408518E-05
15.83325,0.0001153983
15.9354,0.0002380246
16.03755,0.0003606509
16.1397,0.0006059036
16.24185,0.0009737825
16.344,0.001341661
16.44615,0.00170954
16.5483,0.002077419
16.65045,0.002445298
16.7526,0.002567925
16.85475,0.002813177
16.9569,0.002751864
17.05905,0.002813177
17.1612,0.002567925
17.26335,0.002200046
17.3655,0.001954793
17.46765,0.001648227
17.5698,0.001219035
17.67195,0.0006672167
17.7741,0.0001153983
17.87625,-0.0001911674
17.9784,-0.0004977332
18.08055,-0.0006203595
18.1827,-0.000804299
18.28485,-0.0008656121
18.387,-0.0008656121
18.48915,-0.0006816727
18.5913,-0.0004364201
18.69345,-0.0002524806
18.7956,-7.227974E-06
18.89775,0.0004219641
18.9999,0.0006059036
19.10205,0.000789843
19.2042,0.0007285299
19.30635,0.0007285299
19.4085,0.0007285299
19.51065,0.0006059036
19.6128,0.0003606509
19.71495,0.0001767115
19.8171,5.408518E-05
19.91925,-6.854113E-05
20.0214,-0.0001911674
20.12355,-6.854113E-05
20.2257,-7.227974E-06
20.32785,-7.227974E-06
20.43,-6.854113E-05
20.53215,-0.0001911674
20.6343,-0.0004977332
20.73645,-0.0006203595
20.8386,-0.0007429858
20.94075,-0.0007429858
21.0429,-0.0009269253
21.14505,-0.001049552
21.2472,-0.001233491
21.34935,-0.001356117
21.4515,-0.00160137
21.55365,-0.001846623
21.6558,-0.001969249
21.75795,-0.002275815
21.8601,-0.002705007
21.96225,-0.003011572
22.0644,-0.003195512
22.16655,-0.003318138
22.2687,-0.003440764
22.37085,-0.003686017
22.473,-0.003992583
22.57515,-0.004483088
22.6773,-0.004789654
22.77945,-0.005034907
22.8816,-0.005280159
22.98375,-0.005280159
23.0859,-0.005218846
23.18805,-0.005218846
23.2902,-0.005218846
23.39235,-0.005157533
23.4945,-0.005157533
23.59665,-0.005280159
