"02-01-2012","22:34:06"
"X Units:","MICRON"
"Z Units:","MICRON"
"Num Data:",48925
"Data Gain:",1
"Data Offset:",0
0,-0.003244612
0.10215,-0.00299936
0.2043,-0.002692794
0.30645,-0.002263602
0.4086,-0.00183441
0.51075,-0.001405218
0.6129,-0.0009760257
0.71505,-0.000730773
0.8172,-0.0006081467
0.91935,-0.0004855204
1.0215,-0.0006081467
1.12365,-0.000730773
1.2258,-0.0009760257
1.32795,-0.001343905
1.4301,-0.00183441
1.53225,-0.002447541
1.6344,-0.002938047
1.73655,-0.003305926
1.8387,-0.003857744
1.94085,-0.004286936
2.043,-0.004286936
2.14515,-0.004225623
2.2473,-0.00416431
2.34945,-0.004041683
2.4516,-0.003919057
2.55375,-0.003796431
2.6559,-0.003796431
2.75805,-0.003673804
2.8602,-0.003489865
2.96235,-0.003183299
3.0645,-0.00299936
3.16665,-0.00281542
3.2688,-0.002570168
3.37095,-0.002324915
3.4731,-0.002079662
3.57525,-0.001957036
3.6774,-0.001895723
3.77955,-0.001711783
3.8817,-0.001466531
3.98385,-0.001221278
4.086,-0.001098652
4.18815,-0.001037339
4.2903,-0.0008533993
4.39245,-0.0007920862
4.4946,-0.000730773
4.59675,-0.0006081467
4.6989,-0.000301581
4.80105,4.984809E-06
4.9032,0.00049549
5.00535,0.000863369
5.1075,0.001292561
5.20965,0.001721753
5.3118,0.002150945
5.41395,0.002580137
5.5161,0.002702764
5.61825,0.002764077
5.7204,0.00282539
5.82255,0.002702764
5.9247,0.002457511
6.02685,0.001967006
6.129,0.001476501
6.23115,0.001108622
6.3333,0.0005568032
6.43545,0.0002502374
6.5376,0.0001276111
6.63975,0.0001276111
6.7419,6.629797E-05
6.84405,0.0002502374
6.9462,0.0006794295
7.04835,0.001292561
7.1505,0.001967006
7.25265,0.002948016
7.3548,0.003929027
7.45695,0.004664784
7.5591,0.005461855
7.66125,0.006013674
7.7634,0.006749432
7.86555,0.007178624
7.9677,0.007423876
8.06985,0.007730442
8.172,0.007975695
8.27415,0.007975695
8.3763,0.007975695
8.47845,0.007914382
8.5806,0.007853068
8.68275,0.007853068
8.7849,0.007975695
8.88705,0.008220947
8.9892,0.008343574
9.09135,0.008404887
9.1935,0.008588826
9.29565,0.008711453
9.3978,0.008588826
9.49995,0.0084662
9.6021,0.008220947
9.70425,0.007975695
9.8064,0.007791755
9.90855,0.007423876
10.0107,0.007178624
10.11285,0.006872058
10.215,0.006810745
10.31715,0.006749432
10.4193,0.006626805
10.52145,0.006749432
10.6236,0.006749432
10.72575,0.006994684
10.8279,0.007362563
10.93005,0.007607816
11.0322,0.007791755
11.13435,0.008098321
11.2365,0.008220947
11.33865,0.008220947
11.4408,0.008159635
11.54295,0.008220947
11.6451,0.008098321
11.74725,0.008098321
11.8494,0.008037008
11.95155,0.007853068
12.0537,0.007730442
12.15585,0.007546503
12.258,0.007178624
12.36015,0.006872058
12.4623,0.006626805
12.56445,0.006381553
12.6666,0.006197613
12.76875,0.005891047
12.8709,0.005891047
12.97305,0.005891047
13.0752,0.0061363
13.17735,0.006442866
13.2795,0.006872058
13.38165,0.00730125
13.4838,0.007730442
13.58595,0.008037008
13.6881,0.008220947
13.79025,0.008343574
13.8924,0.008527514
13.99455,0.0084662
14.0967,0.0084662
14.19885,0.008282261
14.301,0.008037008
14.40315,0.007607816
14.5053,0.007117311
14.60745,0.006565492
14.7096,0.006013674
14.81175,0.005584482
14.9139,0.005032663
15.01605,0.004787411
15.1182,0.004726097
15.22035,0.004542158
15.3225,0.004542158
15.42465,0.004419532
15.5268,0.004296905
15.62895,0.004174279
15.7311,0.004051653
15.83325,0.004051653
15.9354,0.003929027
16.03755,0.003745087
16.1397,0.003561148
16.24185,0.003315895
16.344,0.002948016
16.44615,0.002580137
16.5483,0.002212258
16.65045,0.001783066
16.7526,0.001353874
16.85475,0.000863369
16.9569,0.0001889243
17.05905,-0.000301581
17.1612,-0.0007920862
17.26335,-0.001282591
17.3655,-0.001589157
17.46765,-0.002079662
17.5698,-0.002324915
17.67195,-0.002692794
17.7741,-0.00281542
17.87625,-0.003060673
17.9784,-0.003305926
18.08055,-0.003428552
18.1827,-0.003428552
18.28485,-0.003551178
18.387,-0.003735118
18.48915,-0.003919057
18.5913,-0.003919057
18.69345,-0.004041683
18.7956,-0.004225623
18.89775,-0.004348249
18.9999,-0.004532189
19.10205,-0.004409562
19.2042,-0.004532189
19.30635,-0.004654815
19.4085,-0.004900068
19.51065,-0.005267947
19.6128,-0.005635825
19.71495,-0.006065018
19.8171,-0.006616836
19.91925,-0.007107341
20.0214,-0.00747522
20.12355,-0.007904412
20.2257,-0.008394917
20.32785,-0.008824109
20.43,-0.009191988
20.53215,-0.009682493
20.6343,-0.009743807
20.73645,-0.009682493
20.8386,-0.009498554
20.94075,-0.009191988
21.0429,-0.008824109
21.14505,-0.008517544
21.2472,-0.008333604
21.34935,-0.007965725
21.4515,-0.007597846
21.55365,-0.007229968
21.6558,-0.006923402
21.75795,-0.006616836
21.8601,-0.006371583
21.96225,-0.006371583
22.0644,-0.006432896
22.16655,-0.006555523
22.2687,-0.006739462
22.37085,-0.006862089
22.473,-0.007107341
22.57515,-0.007352594
22.6773,-0.007720473
22.77945,-0.008088351
22.8816,-0.00845623
22.98375,-0.008762796
23.0859,-0.008946735
23.18805,-0.009008049
23.2902,-0.009008049
23.39235,-0.009069362
23.4945,-0.009008049
23.59665,-0.008946735
23.6988,-0.009008049
23.80095,-0.009191988
23.9031,-0.009437241
24.00525,-0.00980512
24.1074,-0.01005037
24.20955,-0.01005037
