"02-01-2012","22:13:14"
"X Units:","MICRON"
"Z Units:","MICRON"
"Num Data:",49940
"Data Gain:",1
"Data Offset:",0
0,-0.002312556
0.010012,-0.002312556
0.020024,-0.002557809
0.030036,-0.002803062
0.040048,-0.003293567
0.05006,-0.004029325
0.060072,-0.004765083
0.070084,-0.00550084
0.080096,-0.006113972
0.090108,-0.006727104
0.10012,-0.007156295
0.110132,-0.007340235
0.120144,-0.007462861
0.130156,-0.007462861
0.140168,-0.007217608
0.15018,-0.006972356
0.160192,-0.006727104
0.170204,-0.006604477
0.180216,-0.00666579
0.190228,-0.006604477
0.20024,-0.006849729
0.210252,-0.007094982
0.220264,-0.007278922
0.230276,-0.007462861
0.240288,-0.007585487
0.2503,-0.00783074
0.260312,-0.007953366
0.270324,-0.007953366
0.280336,-0.00783074
0.290348,-0.007585487
0.30036,-0.007217608
0.310372,-0.006727104
0.320384,-0.006359225
0.330396,-0.005930033
0.340408,-0.005807406
0.35042,-0.00568478
0.360432,-0.005746093
0.370444,-0.005930033
0.380456,-0.006113972
0.390468,-0.005991346
0.40048,-0.006175285
0.410492,-0.006359225
0.420504,-0.006481851
0.430516,-0.006420538
0.440528,-0.006236598
0.45054,-0.005930033
0.460552,-0.00568478
0.470564,-0.00550084
0.480576,-0.00550084
0.490588,-0.005255588
0.5006,-0.005071648
0.510612,-0.005010335
0.520624,-0.005194275
0.530636,-0.00550084
0.540648,-0.005868719
0.55066,-0.006113972
0.560672,-0.006359225
0.570684,-0.006849729
0.580696,-0.007217608
0.590708,-0.007585487
0.60072,-0.007769427
0.610732,-0.007769427
0.620744,-0.007462861
0.630756,-0.006972356
0.640768,-0.006359225
0.65078,-0.005746093
0.660792,-0.004949022
0.670804,-0.004642456
0.680816,-0.004397204
0.690828,-0.004029325
0.70084,-0.004029325
0.710852,-0.004029325
0.720864,-0.004151951
0.730876,-0.004274577
0.740888,-0.00451983
0.7509,-0.004642456
0.760912,-0.004826396
0.770924,-0.005071648
0.780936,-0.005132962
0.790948,-0.004765083
0.80096,-0.004458517
0.810972,-0.004029325
0.820984,-0.003661446
0.830996,-0.003232254
0.841008,-0.002864375
0.85102,-0.002435183
0.861032,-0.002312556
0.871044,-0.002005991
0.881056,-0.001822051
0.891068,-0.001638112
0.90108,-0.001576798
0.911092,-0.001576798
0.921104,-0.001576798
0.931116,-0.001576798
0.941128,-0.001576798
0.95114,-0.001454172
0.961152,-0.001392859
0.971164,-0.001331546
0.981176,-0.001086293
0.991188,-0.0008410406
1.0012,-0.0007184143
1.011212,-0.0004731617
1.021224,-0.000595788
1.031236,-0.000595788
1.041248,-0.0006571011
1.05126,-0.0009023537
1.061272,-0.00120892
1.071284,-0.001576798
1.081296,-0.001699425
1.091308,-0.001944677
1.10132,-0.001760738
1.111332,-0.001576798
1.121344,-0.001147606
1.131356,-0.0008410406
1.141368,-0.0005344748
1.15138,-0.0001052827
1.161392,0.000569162
1.171404,0.0009983541
1.181416,0.001366233
1.191428,0.001734112
1.20144,0.002040678
1.211452,0.002408557
1.221464,0.002653809
1.231476,0.002837749
1.241488,0.002899062
1.2515,0.003083001
1.261512,0.003328254
1.271524,0.00345088
1.281536,0.003818759
1.291548,0.004247951
1.30156,0.00479977
1.311572,0.005106336
1.321584,0.005290275
1.331596,0.005596841
1.341608,0.00578078
1.35162,0.005903407
1.361632,0.005903407
1.371644,0.005719467
1.381656,0.005535528
1.391668,0.005351588
1.40168,0.005045022
1.411692,0.00479977
1.421704,0.004554517
1.431716,0.004431891
1.441728,0.004309264
1.45174,0.004309264
1.461752,0.004370578
1.471764,0.00461583
1.481776,0.00479977
1.491788,0.005045022
1.5018,0.005412901
1.511812,0.005658154
1.521824,0.005903407
1.531836,0.006026033
1.541848,0.006148659
1.55186,0.006148659
1.561872,0.006271285
1.571884,0.006271285
1.581896,0.006148659
1.591908,0.00596472
1.60192,0.005903407
1.611932,0.005903407
1.621944,0.005842093
1.631956,0.005842093
1.641968,0.006026033
1.65198,0.006148659
1.661992,0.006271285
1.672004,0.006332599
1.682016,0.006393912
1.692028,0.006332599
1.70204,0.006393912
1.712052,0.006271285
1.722064,0.006271285
1.732076,0.006026033
1.742088,0.00578078
1.7521,0.005474214
1.762112,0.004922396
1.772124,0.004370578
1.782136,0.003941386
1.792148,0.003573507
1.80216,0.003328254
1.812172,0.003144315
1.822184,0.003021688
1.832196,0.003083001
1.842208,0.003328254
1.85222,0.003328254
1.862232,0.003328254
1.872244,0.003389567
1.882256,0.003512193
1.892268,0.003573507
1.90228,0.003512193
1.912292,0.00345088
1.922304,0.003328254
1.932316,0.003144315
1.942328,0.002960375
1.95234,0.002960375
1.962352,0.002960375
1.972364,0.002960375
1.982376,0.003083001
1.992388,0.003389567
2.0024,0.003573507
2.012412,0.003696133
2.022424,0.003941386
2.032436,0.004370578
2.042448,0.004677143
2.05246,0.004922396
2.062472,0.004922396
2.072484,0.00479977
2.082496,0.004677143
2.092508,0.004677143
2.10252,0.00461583
2.112532,0.004677143
2.122544,0.004677143
2.132556,0.00479977
2.142568,0.005045022
2.15258,0.005290275
2.162592,0.005228962
2.172604,0.005290275
2.182616,0.005290275
2.192628,0.005290275
2.20264,0.004922396
2.212652,0.004554517
2.222664,0.004064012
2.232676,0.00363482
2.242688,0.003205628
2.2527,0.002776436
2.262712,0.002347243
2.272724,0.001856738
2.282736,0.001488859
2.292748,0.00130492
2.30276,0.001182294
2.312772,0.001366233
2.322784,0.001488859
2.332796,0.001488859
2.342808,0.001734112
2.35282,0.001856738
2.362832,0.001856738
2.372844,0.001856738
